,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
448,Asau,RO,46.4333,26.4,29.39,91,100,1.63,overcast clouds
449,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,54,40,3.44,scattered clouds
450,Crotone,IT,39.0851,17.1178,44.69,77,92,4.76,overcast clouds
451,Clifton,US,40.8584,-74.1638,69.84,71,0,19.57,clear sky
452,Longyearbyen,SJ,78.2186,15.6401,15.01,94,62,6.51,broken clouds
453,Turayf,SA,31.6725,38.6637,53.85,54,0,9.22,clear sky
454,Aras,ES,42.5617,-2.356,36.05,93,0,4.61,clear sky
455,Kathu,TH,7.9178,98.3332,86.76,85,44,8.1,scattered clouds
456,Vicuna,CL,-30.0319,-70.7081,56.93,56,0,2.17,clear sky
457,Poronaysk,RU,49.2167,143.1167,23.74,70,15,10.69,few clouds
458,Poum,NC,-20.2333,164.0167,81.34,68,5,7.72,clear sky
459,Amuntai,ID,-2.4177,115.2494,77.68,93,100,0.72,light rain
460,Alugan,PH,12.2188,125.4808,79.2,88,100,7.72,heavy intensity rain
461,Puerto Escondido,MX,15.85,-97.0667,79.43,71,0,6.64,clear sky
462,Wencheng,CN,33.0559,113.7978,54.79,56,0,7.96,clear sky
463,Zhoucheng,CN,35.9122,116.3117,53.02,52,4,4.7,clear sky
464,Dekar,BW,-21.5333,21.9333,66.6,78,100,4.32,light rain
465,Korla,CN,41.7597,86.1469,44.08,32,100,5.32,overcast clouds
466,Kalawit,PH,8.0667,122.5167,81.25,82,100,13.11,heavy intensity rain
467,Nayoro,JP,44.3506,142.4578,31.08,77,83,8.19,broken clouds
468,Kharp,RU,66.8014,65.8081,-23.1,97,61,4.65,broken clouds
469,Dospat,BG,41.65,24.1667,25.29,97,92,4.16,overcast clouds
470,Cuamba,MZ,-14.8031,36.5372,67.57,98,92,1.95,overcast clouds
471,Hay River,CA,60.8156,-115.7999,31.98,69,75,5.75,broken clouds
472,Esna,EG,25.2934,32.554,71.62,19,75,10.47,broken clouds
473,Rantauprapat,ID,2.1,99.8333,79.97,84,99,1.05,overcast clouds
474,Lavrentiya,RU,65.5833,-171.0,13.23,93,100,10.6,overcast clouds
475,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,34.63,88,100,19.42,overcast clouds
476,Kuhdasht,IR,33.535,47.6061,45.91,84,100,6.53,overcast clouds
477,Pahalgam,IN,34.0333,75.3333,35.26,90,100,3.94,snow
478,Cape Coast,GH,5.1053,-1.2466,79.27,90,100,5.95,overcast clouds
479,Puerto Penasco,MX,31.3167,-113.5333,59.92,54,6,7.0,clear sky
480,Mount Pleasant,US,32.7941,-79.8626,69.98,91,100,1.01,mist
481,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.25,75,91,8.97,overcast clouds
482,Constantine,DZ,36.365,6.6147,45.81,93,75,3.44,broken clouds
483,Ozernovskiy,RU,51.5,156.5167,32.92,81,100,22.15,overcast clouds
484,Burnie,AU,-41.0667,145.9167,67.91,56,79,5.93,broken clouds
485,Yuzhno-Sukhokumsk,RU,44.6581,45.6436,28.0,72,5,4.18,clear sky
486,Clarksburg,US,39.2807,-80.3445,60.8,91,100,11.5,overcast clouds
487,San Patricio,US,28.017,-97.5169,75.88,93,17,14.99,few clouds
488,Oktyabrskoye,RU,43.0645,44.7417,19.54,93,1,8.95,clear sky
489,Minnedosa,CA,50.2453,-99.8436,9.16,95,19,10.13,few clouds
490,Vila,PT,42.0304,-8.1588,34.32,85,10,3.94,clear sky
491,Turuvekere,IN,13.1642,76.6667,64.81,60,10,6.11,clear sky
492,Necochea,AR,-38.5473,-58.7368,61.03,90,100,7.27,light rain
493,The Valley,AI,18.217,-63.0578,78.66,76,16,27.25,few clouds
494,Bekhtery,UA,46.251,32.2927,30.63,69,12,6.04,few clouds
495,Gibraleon,ES,37.3763,-6.969,50.02,51,12,5.5,few clouds
496,Saurimo,AO,-9.6608,20.3916,64.83,96,100,1.41,overcast clouds
497,Brainerd,US,46.358,-94.2008,23.29,90,100,8.95,overcast clouds
498,Labuhan,ID,-6.8844,112.2051,85.08,76,99,8.39,overcast clouds
499,Kilrush,IE,52.6397,-9.4833,40.87,71,91,12.64,overcast clouds
500,Marystown,CA,47.1666,-55.1483,28.85,100,100,10.74,overcast clouds
501,Billings,US,45.7833,-108.5007,28.17,67,75,3.0,broken clouds
502,Gravdal,NO,68.1214,13.5031,36.12,99,100,23.29,light rain
503,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,64,75,4.47,broken clouds
504,Lulea,SE,65.5842,22.1547,21.27,100,100,3.44,overcast clouds
505,Pochutla,MX,15.7432,-96.4661,80.82,69,0,4.68,clear sky
506,Murupara,NZ,-38.4667,176.7,78.42,28,32,4.36,scattered clouds
507,Vaitape,PF,-16.5167,-151.75,81.7,72,66,13.04,light rain
508,Chumikan,RU,54.7183,135.315,13.35,80,17,11.41,few clouds
509,Nanakuli,US,21.3906,-158.1547,81.03,54,0,10.36,clear sky
510,Krechevitsy,RU,58.617,31.401,27.03,97,100,3.38,light snow
511,Sabha,LY,27.0377,14.4283,61.83,21,100,9.44,overcast clouds
512,Makakilo City,US,21.3469,-158.0858,79.61,53,0,11.5,clear sky
513,Roald,NO,62.5833,6.1333,42.94,70,100,14.97,overcast clouds
514,Bar Harbor,US,44.3876,-68.2039,52.23,93,20,11.5,few clouds
515,Kristiansund,NO,63.1115,7.732,43.45,61,100,16.11,overcast clouds
516,Lesnoy,RU,57.6198,63.0784,-4.43,93,100,11.18,overcast clouds
517,Sur,OM,22.5667,59.5289,75.81,54,0,6.6,clear sky
518,Soyo,AO,-6.1349,12.3689,80.53,87,100,7.61,light rain
519,Pak Phanang,TH,8.3511,100.202,89.04,72,67,8.9,light rain
520,Kloulklubed,PW,7.0419,134.2556,81.88,79,100,13.91,overcast clouds
521,Taltal,CL,-25.4,-70.4833,68.76,80,8,1.52,clear sky
522,Colares,PT,38.7992,-9.4469,51.33,63,0,24.0,clear sky
523,High Level,CA,58.5169,-117.136,30.31,69,75,3.44,broken clouds
524,Portland,US,45.5234,-122.6762,52.38,71,0,3.44,clear sky
525,Luau,AO,-10.7073,22.2247,64.42,96,100,1.01,overcast clouds
526,Wahiawa,US,21.5028,-158.0236,77.79,54,100,6.91,overcast clouds
527,Waingapu,ID,-9.6567,120.2641,84.43,70,89,4.07,overcast clouds
528,Asyut,EG,27.181,31.1837,66.38,52,100,10.45,overcast clouds
529,Manono,CD,-7.3,27.4167,68.32,95,100,1.57,light rain
530,Aberystwyth,GB,52.4155,-4.0829,35.67,87,7,6.53,clear sky
531,Disraeli,CA,45.9001,-71.3491,53.08,97,100,16.62,overcast clouds
532,Tabuk,PH,17.4189,121.4443,80.42,65,59,4.88,broken clouds
533,Busto Arsizio,IT,45.6122,8.8427,37.92,65,0,5.75,clear sky
534,Casablanca,MA,33.5928,-7.6192,59.32,72,56,4.0,broken clouds
535,Tabou,CI,4.423,-7.3528,79.3,87,72,5.95,broken clouds
536,Roanoke Rapids,US,36.4615,-77.6542,70.2,68,0,8.05,clear sky
537,Emirdag,TR,39.0197,31.15,34.57,86,100,4.83,overcast clouds
538,Eureka,US,40.8021,-124.1637,52.41,81,0,8.01,clear sky
539,Jieshi,CN,22.8134,115.8257,66.94,82,100,5.64,overcast clouds
540,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,72.68,98,100,1.99,light rain
541,Zhigansk,RU,66.7697,123.3711,6.93,87,99,5.7,overcast clouds
542,Bagdarin,RU,54.4333,113.6,16.97,82,100,2.39,overcast clouds
543,Naron,ES,43.5167,-8.1528,47.01,89,19,4.79,few clouds
544,Bubaque,GW,11.2833,-15.8333,76.53,61,7,13.96,clear sky
545,Oktyabrskiy,RU,54.4815,53.471,1.58,99,100,3.22,overcast clouds
546,Kapit,MY,2.0167,112.9333,77.31,94,100,2.21,light rain
547,Teguise,ES,29.0605,-13.564,53.82,77,0,4.61,clear sky
548,Kutum,SD,14.2,24.6667,69.91,12,11,7.16,few clouds
549,Carauari,BR,-4.8828,-66.8958,72.55,97,100,2.08,overcast clouds
550,Langsa,ID,4.4683,97.9683,79.32,85,91,2.62,moderate rain
551,Bandarbeyla,SO,9.4942,50.8122,74.52,70,52,10.36,broken clouds
552,Uaua,BR,-9.8414,-39.4817,72.81,69,37,10.16,scattered clouds
553,Deshnok,IN,27.7986,73.3447,68.54,29,20,10.69,few clouds
554,Waverly,US,42.7392,-84.6208,36.88,79,80,6.2,broken clouds
555,Lorengau,PG,-2.0226,147.2712,80.13,82,99,3.51,overcast clouds
556,Bonnyville,CA,54.2668,-110.735,24.6,96,10,7.29,clear sky
557,Nyurba,RU,63.2842,118.3319,-3.39,94,89,3.51,overcast clouds
558,Kantang,TH,7.4054,99.5156,82.49,89,40,3.44,scattered clouds
559,Turukhansk,RU,65.8167,87.9833,-18.26,93,71,7.43,broken clouds
560,Sao Sebastiao,BR,-23.76,-45.4097,76.26,91,17,4.9,few clouds
561,Sedona,US,34.8697,-111.761,46.65,47,100,9.22,overcast clouds
562,Zunyi,CN,27.6867,106.9072,56.28,71,0,1.05,clear sky
563,Zyryanka,RU,65.75,150.85,-16.29,93,100,5.35,overcast clouds
564,Ryotsu,JP,38.0833,138.4333,42.76,58,80,10.98,broken clouds
565,Nokaneng,BW,-19.6667,22.2667,67.93,88,94,4.92,overcast clouds
566,Banff,CA,51.1762,-115.5698,33.03,32,100,6.91,overcast clouds
567,Oudtshoorn,ZA,-33.5907,22.2014,66.56,51,100,3.62,overcast clouds
568,Berlevag,NO,70.8578,29.0864,18.16,79,17,12.73,few clouds
569,Kommunisticheskiy,RU,61.6789,64.4819,-13.07,93,100,10.49,overcast clouds
570,Le Vauclin,MQ,14.5452,-60.8388,77.05,73,20,14.97,few clouds
571,Khash,IR,28.2211,61.2158,51.57,48,16,4.63,few clouds
572,Biggar,GB,55.6167,-3.5167,30.79,90,10,3.85,clear sky
573,Vostok,RU,46.4856,135.8833,20.79,75,93,6.73,overcast clouds
574,Brigantine,US,39.4101,-74.3646,70.09,83,98,19.51,overcast clouds
575,Siocon,PH,7.7061,122.1353,82.33,79,100,10.92,moderate rain
576,Kisangani,CD,0.5167,25.2,72.43,91,100,4.76,overcast clouds
577,Acajutla,SV,13.5928,-89.8275,79.81,77,95,8.03,overcast clouds
578,La Ronge,CA,55.1001,-105.2842,21.45,73,100,8.05,overcast clouds
579,Grandola,PT,38.1772,-8.5668,44.35,78,0,3.94,clear sky
580,Orgita,EE,58.9218,24.45,34.59,95,92,8.23,overcast clouds
581,Richards Bay,ZA,-28.783,32.0377,73.98,85,52,6.2,broken clouds
582,Halifax,CA,44.6453,-63.5724,46.42,97,100,8.05,overcast clouds
583,Hutchinson,US,38.0608,-97.9298,29.43,87,100,11.5,overcast clouds
584,Zaozerne,UA,45.1582,33.2787,37.4,82,10,9.42,clear sky
585,Hohoe,GH,7.1518,0.4736,76.66,89,4,3.83,clear sky
586,Kibala,TD,9.1104,18.3463,76.95,57,0,0.0,clear sky
587,Malakal,SS,9.5334,31.6605,82.81,20,64,4.29,broken clouds
588,Pineville,US,31.3224,-92.4343,75.49,71,75,12.66,broken clouds
589,Tazovskiy,RU,67.4667,78.7,-41.24,99,57,4.18,broken clouds
590,Zheleznodorozhnyy,RU,55.7503,38.0042,30.72,91,100,6.22,overcast clouds
591,Ginir,ET,7.1333,40.7,56.98,35,100,1.86,overcast clouds
592,Amapa,BR,1.0,-52.0,70.16,100,100,0.92,light rain
593,Westerland,DE,54.9079,8.3033,38.88,70,0,1.16,clear sky
594,Moctezuma,MX,29.8,-109.6667,57.88,18,1,6.55,clear sky
595,Seoul,KR,37.5683,126.9778,40.51,46,0,3.44,clear sky
596,Evensk,RU,61.95,159.2333,10.36,79,74,7.65,broken clouds
597,Mussomeli,IT,37.5778,13.7513,39.4,91,55,2.73,broken clouds
598,Verkhnevilyuysk,RU,63.4453,120.3167,2.89,85,28,3.02,scattered clouds
599,Santa Ana,US,33.7456,-117.8678,60.78,54,0,8.05,clear sky
600,Pasaje,EC,-3.3333,-79.8167,80.31,90,100,0.69,overcast clouds
601,Broome,US,42.2506,-75.833,64.17,83,100,13.67,light rain
602,Fukue,JP,32.6881,128.8419,48.56,53,75,10.36,broken clouds
603,Dingle,PH,10.9995,122.6711,79.11,84,100,10.25,moderate rain
604,Andenes,NO,69.3143,16.1194,34.38,93,100,11.5,overcast clouds
605,Sandnessjoen,NO,66.0217,12.6316,39.18,93,100,1.99,light rain
606,Ghugus,IN,19.9333,79.1333,74.1,37,0,4.65,clear sky
607,Vallenar,CL,-28.5708,-70.7581,73.17,50,0,2.01,clear sky
608,Ushtobe,KZ,45.2514,77.9838,45.73,84,100,6.15,overcast clouds
609,Chapais,CA,49.7834,-74.8492,20.98,96,100,4.7,overcast clouds
610,Chebenki,RU,51.9337,55.7077,4.78,96,41,5.61,scattered clouds
611,Jatai,BR,-17.8814,-51.7144,69.8,76,29,4.36,scattered clouds
612,Pombia,IT,45.653,8.6336,38.12,64,57,2.59,broken clouds
613,Orichi,RU,58.4036,49.0572,2.62,97,100,3.89,overcast clouds
614,Pombas,CV,17.1503,-25.0201,65.98,75,93,17.54,overcast clouds
615,Barra Dos Coqueiros,BR,-10.9089,-37.0386,82.42,69,75,10.36,broken clouds
616,Faya,SA,18.3851,42.4509,55.51,72,4,1.92,clear sky
617,Wewak,PG,-3.5534,143.6268,84.81,71,98,1.88,overcast clouds
618,Praya,CV,14.9215,-23.5087,68.54,68,20,21.85,few clouds
619,Broken Hill,AU,-31.95,141.4333,74.91,53,10,14.97,clear sky
620,Bryan,US,30.6744,-96.37,73.94,79,40,12.66,scattered clouds
621,Orotukan,RU,62.2667,151.7,-8.0,94,99,3.29,overcast clouds
622,Dolores,AR,-36.3132,-57.6792,63.5,95,52,6.11,light rain
623,Venice,US,27.0998,-82.4543,77.99,69,20,10.36,haze
624,Luancheng,CN,37.8792,114.6517,46.56,21,0,5.84,clear sky
625,Teya,RU,60.3778,92.6267,9.75,94,100,3.24,light snow
626,Yulara,AU,-25.2406,130.9889,84.04,30,5,14.97,clear sky
627,Presidente Dutra,BR,-5.29,-44.49,71.83,99,100,3.11,overcast clouds
628,Sorong,ID,-0.8833,131.25,80.62,81,100,4.9,light rain
629,Huarmey,PE,-10.0681,-78.1522,73.0,79,95,4.99,overcast clouds
630,Peruibe,BR,-24.32,-46.9983,77.27,87,10,3.38,clear sky
631,Adrar,MR,20.5022,-10.0711,59.67,21,0,9.82,clear sky
632,Mayumba,GA,-3.432,10.6554,79.61,87,100,2.17,light rain
633,Lyngseidet,NO,69.5763,20.2189,32.47,90,100,10.42,overcast clouds
634,Tual,ID,-5.6667,132.75,82.92,78,89,13.53,overcast clouds
635,Russell,US,32.3502,-85.1999,73.11,64,20,4.61,few clouds
636,Oxapampa,PE,-10.5775,-75.4017,60.17,99,100,0.67,overcast clouds
637,Baruun-Urt,MN,46.6806,113.2792,23.54,55,92,16.37,overcast clouds
638,Fort Nelson,CA,58.8053,-122.7002,44.19,49,75,24.16,shower rain
639,Half Moon Bay,US,37.4636,-122.4286,58.33,73,0,18.41,haze
640,Shimoni,KE,-4.6476,39.3817,76.23,86,88,5.59,overcast clouds
641,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.44,light rain
642,Juneau,US,58.3019,-134.4197,43.21,98,99,1.95,overcast clouds
643,Somerset East,ZA,-32.7217,25.588,68.38,70,97,7.23,overcast clouds
644,Najran,SA,17.4924,44.1277,59.65,17,7,1.83,clear sky
645,West Wendover,US,40.7391,-114.0733,29.41,93,67,9.22,broken clouds
646,Kushima,JP,31.4583,131.2333,50.04,56,100,9.91,overcast clouds
647,Sao Filipe,CV,14.8961,-24.4956,70.47,71,89,10.04,overcast clouds
648,Lethem,GY,3.3803,-59.7968,78.21,77,100,11.36,overcast clouds
649,Kedrovyy,RU,56.1667,91.8167,39.87,89,100,16.06,light rain
650,San Luis,AR,-33.295,-66.3356,68.47,75,32,4.92,scattered clouds
651,Ternate,ID,0.8,127.4,80.89,80,100,7.38,light rain
652,Belaya Gora,RU,68.5333,146.4167,-13.56,95,100,1.81,overcast clouds
653,Salinas,US,36.6777,-121.6555,58.05,71,75,10.36,broken clouds
654,Chokwe,MZ,-24.5333,32.9833,69.26,95,3,2.95,clear sky
655,Marsh Harbour,BS,26.5412,-77.0636,74.14,75,20,20.47,few clouds
656,Bay Roberts,CA,47.5999,-53.2648,26.06,73,100,5.77,overcast clouds
657,Ihlow,DE,51.8833,13.3333,31.42,74,75,2.3,broken clouds
658,Acari,PE,-15.4311,-74.6158,73.26,83,75,3.85,broken clouds
659,Preobrazheniye,RU,42.9019,133.9064,32.54,49,60,3.0,broken clouds
660,Tsnori,GE,41.6209,45.9694,32.81,65,0,3.71,clear sky
661,Somerset,US,40.5668,-74.5496,70.14,74,100,4.0,overcast clouds
662,Gushikawa,JP,26.3544,127.8686,61.83,72,100,9.22,overcast clouds
663,Anadyr,RU,64.75,177.4833,23.5,85,75,31.32,broken clouds
664,Arcata,US,40.8665,-124.0828,50.58,82,0,7.0,clear sky
665,Marzuq,YE,14.4,46.4667,60.37,40,91,3.71,overcast clouds
666,Betioky,MG,-23.7167,44.3833,72.81,80,0,5.64,clear sky
667,Kahului,US,20.8947,-156.47,83.46,68,18,5.17,few clouds
668,Krasnoselkup,RU,65.7,82.4667,-24.72,98,98,8.95,overcast clouds
669,Lebyazhye,RU,55.2689,66.4947,-1.95,95,100,9.95,overcast clouds
670,Zabid,YE,14.1951,43.3152,73.58,64,98,5.41,overcast clouds
671,Margate,GB,51.3813,1.3862,42.91,64,78,5.01,broken clouds
672,Durazno,UY,-33.4131,-56.5006,70.65,95,100,9.04,overcast clouds
673,Liezen,AT,47.5667,14.2333,28.13,92,33,1.36,scattered clouds
674,Victor Harbor,AU,-35.5667,138.6167,69.91,81,100,1.99,overcast clouds
